,nazov
2023-09-01,Piatok 21. týždňa v Cezročnom období [Zelená]
2023-09-02,Sobota 21. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-09-03,22. nedeľa v Cezročnom období [Zelená]
2023-09-04,Pondelok 22. týždňa v Cezročnom období [Zelená]
2023-09-05,Utorok 22. týždňa v Cezročnom období [Zelená]
2023-09-06,Streda 22. týždňa v Cezročnom období [Zelená]
2023-09-07,"Svätých Marka Križina, Melichara Grodzieckého a Štefana Pongrácza, kňazov a mučeníkov [Červená] (spomienka)"
2023-09-08,Narodenie Preblahoslavenej Panny Márie [Biela] (sviatok)
2023-09-09,"Sobota 22. týždňa v Cezročnom období [Zelená] alebo Svätého Petra Clavera, kňaza [Biela] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-09-10,23. nedeľa v Cezročnom období [Zelená]
2023-09-11,Pondelok 23. týždňa v Cezročnom období [Zelená]
2023-09-12,Utorok 23. týždňa v Cezročnom období [Zelená] alebo Najsvätejšieho mena Panny Márie [Biela] (ľubovoľná spomienka)
2023-09-13,"Svätého Jána Zlatoústeho, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-09-14,Povýšenie Svätého kríža [Červená] (sviatok)
2023-09-15,"Sedembolestnej Panny Márie, patrónky Slovenska [Biela] (slávnosť)"
2023-09-16,"Svätých Kornélia, pápeža, a Cypriána, biskupa, mučeníkov [Červená] (spomienka)"
2023-09-17,24. nedeľa v Cezročnom období [Zelená]
2023-09-18,Pondelok 24. týždňa v Cezročnom období [Zelená]
2023-09-19,"Utorok 24. týždňa v Cezročnom období [Zelená] alebo Svätého Januára, biskupa a mučeníka [Červená] (ľubovoľná spomienka)"
2023-09-20,"Svätých Ondreja Kima Taegona, kňaza, Pavla Chonga Hasanga a spoločníkov, mučeníkov [Červená] (spomienka)"
2023-09-21,"Svätého Matúša, apoštola a evanjelistu [Červená] (sviatok)"
2023-09-22,Piatok 24. týždňa v Cezročnom období [Zelená]
2023-09-23,"Svätého Pia z Pietrelciny, kňaza [Biela] (spomienka)"
2023-09-24,25. nedeľa v Cezročnom období [Zelená]
2023-09-25,Pondelok 25. týždňa v Cezročnom období [Zelená]
2023-09-26,"Utorok 25. týždňa v Cezročnom období [Zelená] alebo Svätých Kozmu a Damiána, mučeníkov [Červená] (ľubovoľná spomienka)"
2023-09-27,"Svätého Vincenta de Paul, kňaza [Biela] (spomienka)"
2023-09-28,"Štvrtok 25. týždňa v Cezročnom období [Zelená] alebo Svätého Václava, mučeníka [Červená] alebo Svätých Vavrinca Ruiza a spoločníkov, mučeníkov [Červená] (ľubovoľná spomienka)"
2023-09-29,"Svätých Michala, Gabriela a Rafaela, archanjelov [Biela] (sviatok)"
2023-09-30,"Svätého Hieronyma, kňaza a učiteľa Cirkvi [Biela] (spomienka)"
2023-10-01,26. nedeľa v Cezročnom období [Zelená]
2023-10-02,Svätých anjelov strážcov [Biela] (spomienka)
2023-10-03,Utorok 26. týždňa v Cezročnom období [Zelená]
2023-10-04,Svätého Františka Assiského [Biela] (spomienka)
2023-10-05,"Štvrtok 26. týždňa v Cezročnom období [Zelená] alebo Svätej Faustíny Kowalskej, panny [Biela] (ľubovoľná spomienka)"
2023-10-06,"Piatok 26. týždňa v Cezročnom období [Zelená] alebo Svätého Bruna, kňaza [Biela] (ľubovoľná spomienka)"
2023-10-07,Ružencovej Panny Márie [Biela] (spomienka)
2023-10-08,27. nedeľa v Cezročnom období [Zelená]
2023-10-09,"Pondelok 27. týždňa v Cezročnom období [Zelená] alebo Svätých Dionýza, biskupa, a spoločníkov, mučeníkov [Červená] alebo Svätého Jána Leonardiho, kňaza [Biela] (ľubovoľná spomienka)"
2023-10-10,Utorok 27. týždňa v Cezročnom období [Zelená]
2023-10-11,"Streda 27. týždňa v Cezročnom období [Zelená] alebo Svätého Jána XXIII., pápeža [Biela] (ľubovoľná spomienka)"
2023-10-12,Štvrtok 27. týždňa v Cezročnom období [Zelená]
2023-10-13,Piatok 27. týždňa v Cezročnom období [Zelená]
2023-10-14,"Sobota 27. týždňa v Cezročnom období [Zelená] alebo Svätého Kalixta I., pápeža a mučeníka [Červená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-10-15,28. nedeľa v Cezročnom období [Zelená]
2023-10-16,"Pondelok 28. týždňa v Cezročnom období [Zelená] alebo Svätej Hedvigy, rehoľníčky [Biela] alebo Svätej Margity Márie Alacoque, panny [Biela] alebo Svätého Gála, kňaza [Biela] (ľubovoľná spomienka)"
2023-10-17,"Svätého Ignáca Antiochijského, biskupa a mučeníka [Červená] (spomienka)"
2023-10-18,"Svätého Lukáša, evanjelistu [Červená] (sviatok)"
2023-10-19,"Štvrtok 28. týždňa v Cezročnom období [Zelená] alebo Svätých Jána de Brébeuf a Izáka Jogues, kňazov, a ich spoločníkov, mučeníkov [Červená] alebo Svätého Pavla od Kríža, kňaza [Biela] (ľubovoľná spomienka)"
2023-10-20,Piatok 28. týždňa v Cezročnom období [Zelená]
2023-10-21,Sobota 28. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
